Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2843] WEALTH COLLECTION COMPANY,INC
From     : 10/01/2009 To 10/13/2009
Printed  : 10/14/2009 5:58pm SHEENA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 2843] WEALTH COLLECTION COMPANY,INC                            |                                |
--------------------------------------------------                         |                                |
2655299        #2809-3 3-1 BRF MED                 1    299.75       299.75|        1    239.80       239.80|   224.81       224.81
2655298        #2809-3 3-1 BRF SMAL                1    299.75       299.75|                                |   224.81       224.81
2654034        #2809-3 BRF.3IN1 L                  2    299.75       599.50|        2    239.80       479.60|   224.81       449.62
2654034        #2809-3 BRF.3IN1 L                  1    299.75       299.75|                                |   224.81       224.81
2654035        #2809-3 BRF.3IN1 XL                 1    299.75       299.75|        1    239.80       239.80|   224.81       224.81
2654047        #2830 BRF/COL.XL WAL                1    104.75       104.75|                                |    78.56        78.56
2654776        #2830-6 BREIF 6N1 XL                1    449.75       449.75|                                |   337.31       337.31
2654774        #2830-6 BRIEF 6N1 M                 1    449.75       449.75|                                |   337.31       337.31
2674351        #3011-3 BRIEF S                     1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2676013        #3021-3 ASSTD BRIEF S               1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2676013        #3021-3 ASSTD BRIEF S               1    209.75       209.75|                                |   157.31       157.31
2676014        #3021-3 ASSTD BRIEF XL              1    209.75       209.75|                                |   157.31       157.31
2655307        #7300  3-1 BRF WHT 3                1    299.75       299.75|        1    239.80       239.80|   224.81       224.81
2655307        #7300  3-1 BRF WHT 3                1    299.75       299.75|                                |   224.81       224.81
2654064        #7300 BRF.WHT 3-1 26                1    299.75       299.75|        1    239.80       239.80|   224.81       224.81
